id,sentence,subject_entity,object_entity,label,source
0,"""Something""은 조지 해리슨이 작곡하고 비틀즈의 1969년 앨범 ""Abbey Road""에 수록된 곡이다.","{'word': '비틀즈', 'start_idx': 26, 'end_idx': 28, 'type': 'ORG'}","{'word': '조지 해리슨', 'start_idx': 13, 'end_idx': 18, 'type': 'PER'}",no_relation,wikipedia
1,"호남을 기반으로 한 미래당과 대안신당, 민주평화당이 우여곡절 끝에 민생당(가칭)으로 거듭난다.","{'word': '민주평화당', 'start_idx': 22, 'end_idx': 26, 'type': 'ORG'}","{'word': '대안신당', 'start_idx': 16, 'end_idx': 19, 'type': 'ORG'}",no_relation,wikitree
2,K리그2 1위 광주FC가 26일 한국프로축구연맹의 관중 유치와 마케팅 성과를 인정받아 '풀스타디움상'과 '플러스스타디움상'을 수상했다.,"{'word': '광주FC', 'start_idx': 8, 'end_idx': 11, 'type': 'ORG'}","{'word': '한국프로축구연맹', 'start_idx': 18, 'end_idx': 25, 'type': 'ORG'}",org:member_of,wikitree
4,"1967년 프로 야구 드래프트에서 1순위로 요미우리 자이언츠에 입단했을 때, 그의 등번호는 8번으로 배정되었다.","{'word': '요미우리 자이언츠', 'start_idx': 24, 'end_idx': 32, 'type': 'ORG'}","{'word': '1967', 'start_idx': 0, 'end_idx': 3, 'type': 'DAT'}",no_relation,wikipedia
13,"뉴질랜드 1차산업부의 생물순수대 대변인인 캐서린 더쉬 박사는 오클랜드 전역에 초파리를 잡기 위해 1,300개의 파리 통이 있다고 말했고, 그 통들은 곧 마지막으로 검사될 것이라고 덧붙였다.","{'word': '뉴질랜드', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '오클랜드', 'start_idx': 34, 'end_idx': 37, 'type': 'LOC'}",org:members,wikitree
19,"이 포럼은 제주개발공사, 유네스코 아시아태평양본부, 한국지질자원연구원이 공동 주최하고 유네스코 파리본부, 제주특별자치도, 환경부, 한국수자원공사, 한국건설기술원이 후원한다.","{'word': '한국수자원공사', 'start_idx': 73, 'end_idx': 79, 'type': 'ORG'}","{'word': '환경부', 'start_idx': 68, 'end_idx': 70, 'type': 'ORG'}",no_relation,wikitree
20,1971년 대선을 앞두고 김종필은 1971년 대선에서 박정희를 이기기 위해 무려 600억 원을 썼다고 말했다.,"{'word': '김종필', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}","{'word': '박정희', 'start_idx': 30, 'end_idx': 32, 'type': 'PER'}",per:colleagues,wikipedia
22,"박흥식 씨는 첫째 부인과 장녀 박병숙 씨를 두었고 둘째 부인은 경희대 교수를 지낸 피아니스트 한인하 씨, 둘째 딸 박봉숙 씨는 이화여대 교수를 지냈다.","{'word': '박흥식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '한인하', 'start_idx': 52, 'end_idx': 54, 'type': 'PER'}",per:spouse,wikipedia
23,2008년 9월 만수르 빈 자이드 알나히안이 소유한 맨체스터 시티 FC를 인수할 것을 제안하고 인수 완료 후 잉글랜드 프리미어리그 맨체스터 시티 FC의 소유주가 되는 등 스포츠계에서도 막강한 영향력을 행사하고 있다.,"{'word': '맨체스터 시티 FC', 'start_idx': 29, 'end_idx': 38, 'type': 'ORG'}","{'word': '프리미어리그', 'start_idx': 66, 'end_idx': 71, 'type': 'ORG'}",org:member_of,wikipedia
24,"FA로 복귀한 중견수 이택근, 1루수로 자리잡은 박병호 등과 함께 클린업 3인방을 구성해 든든한 라인업을 형성했다.","{'word': '박병호', 'start_idx': 27, 'end_idx': 29, 'type': 'PER'}","{'word': '1루수', 'start_idx': 17, 'end_idx': 19, 'type': 'POH'}",per:title,wikipedia
25,SK는 또 지난해 12월 5일 방송에서 언급된 가로세로연구소 유튜브 방송도 명백한 허위라며 최태원 회장이 수감 중 구치소에 라텍스 베개를 나눠줬다고 밝혔다.이혼소송 중인 노소영 원장에게 생활비를 지급하지 않은 것도 거짓이다.,"{'word': '노소영', 'start_idx': 95, 'end_idx': 97, 'type': 'PER'}","{'word': '최태원', 'start_idx': 51, 'end_idx': 53, 'type': 'PER'}",per:spouse,wikitree
28,태화관은 천도교의 제3신부 손병희의 영향을 받아 독립선언서를 낭독하는 장소가 되었다.,"{'word': '손병희', 'start_idx': 15, 'end_idx': 17, 'type': 'PER'}","{'word': '천도교', 'start_idx': 5, 'end_idx': 7, 'type': 'ORG'}",per:employee_of,wikipedia
33,채리나는 후에 박용근을 생명의 은인으로 여겼고 2016년 11월에 결혼했다.,"{'word': '채리나', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '박용근', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}",per:spouse,wikipedia
36,곡성군(군수 유근기)은 급수 가구에 실내 급수관 누수탐사 서비스를 연중 제공한다고 밝혔다.,"{'word': '곡성군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '유근기', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
38,광주국악 상설공연은 세계수영선수권대회 기간 중 잇따라 매진돼 광주의 대표 문화관광 콘텐츠로 큰 호응을 얻고 있는 가운데 국악인 박애리씨가 호남 판소리를 세계에 알린다.,"{'word': '박애리', 'start_idx': 71, 'end_idx': 73, 'type': 'PER'}","{'word': '국악인', 'start_idx': 67, 'end_idx': 69, 'type': 'POH'}",per:title,wikitree
39,앞서 구혜선은 안재현이 소속사 HB엔터테인먼트의 대표 문보미와 험담을 했다고 주장했다.,"{'word': 'HB엔터테인먼트', 'start_idx': 17, 'end_idx': 24, 'type': 'ORG'}","{'word': '문보미', 'start_idx': 30, 'end_idx': 32, 'type': 'PER'}",org:top_members/employees,wikitree
42,2008-09시즌에는 페페의 10경기 출장 정지 징계를 받아 세비야와의 홈경기에서 4-2로 선전했지만 바르셀로나와의 홈경기에서 2-6으로 패해 스페인 12경기 출전 최다 출전 기록을 세우기도 했다.,"{'word': '세비야', 'start_idx': 34, 'end_idx': 36, 'type': 'ORG'}","{'word': '스페인', 'start_idx': 80, 'end_idx': 82, 'type': 'LOC'}",org:member_of,wikipedia
49,"따라서, 개표가 마무리된 오전 8시 6분에 중앙선거관리위원회는 대통령 당선자와 문재인 후보가 대한민국의 대통령이 되었다고 선언했다.","{'word': '중앙선거관리위원회', 'start_idx': 24, 'end_idx': 32, 'type': 'ORG'}","{'word': '대한민국', 'start_idx': 52, 'end_idx': 55, 'type': 'LOC'}",org:member_of,wikipedia
53,공무원연금공단(이사장 정남준)이 직장 내 괴롭힘 근절 등 인권경영 실천에 앞장서기 위해 28일부터 11월 1일까지 인권존중 및 배려주간을 운영한다.,"{'word': '공무원연금공단', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '정남준', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}",org:top_members/employees,wikitree
58,"뮤지컬 배우 엄기준, 차지연, 한지상, 마이클리, 그리고 무대 연출가 이미나가 멘토로 출연하고 있다.","{'word': '차지연', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}","{'word': '뮤지컬 배우', 'start_idx': 0, 'end_idx': 5, 'type': 'POH'}",per:title,wikitree
60,곡성군(군수 유근기)이 '희망 2019 나눔운동 최우수 기관'으로 선정돼 전남공동모금회로부터 감사패를 받았다.,"{'word': '곡성군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '유근기', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
62,김동성(1980년 2월 9일 ~ )은 대한민국의 쇼트트랙 선수이다.,"{'word': '김동성', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1980년 2월 9일', 'start_idx': 4, 'end_idx': 14, 'type': 'DAT'}",per:date_of_birth,wikipedia
65,김종식 목포시장 등 목포시청 직원 150여명은 2020학년도 대학수학능력시험이 치러진 14일 오전 목포마리아고 등 7개 시험장을 찾아 수험생들을 응원하고 학부모들을 격려했다.,"{'word': '목포시', 'start_idx': 4, 'end_idx': 6, 'type': 'ORG'}","{'word': '김종식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",org:top_members/employees,wikitree
66,"그는 ""현대모비스는 마일드 HEV에서 BEV에 이르는 모든 xEV 플랫폼을 모듈화하고 E-GMP 플랫폼 초기 물량을 현대기아차에 독점 공급한다""고 말했다. 전력 부문 매출은 E-GMP 플랫폼 BEV 생산이 본격화되는 2021년 이후 급성장할 것으로 예상된다.","{'word': '현대기아차', 'start_idx': 65, 'end_idx': 69, 'type': 'ORG'}","{'word': '현대모비스', 'start_idx': 4, 'end_idx': 8, 'type': 'ORG'}",no_relation,wikitree
68,그는 경성대 재학 시절 오른손 투수 김기표와 입학 당시 학생으로 각각 좌원삼과 유기표로 불렸다.,"{'word': '김기표', 'start_idx': 20, 'end_idx': 22, 'type': 'PER'}","{'word': '경성대', 'start_idx': 3, 'end_idx': 5, 'type': 'ORG'}",per:schools_attended,wikipedia
69,"칸트는 아름다움이 숭고하다고 주장했고, 그의 주장은 조셉 말로드 윌리엄 터너와 같은 낭만주의 화가들에 의해 받아들여졌다.","{'word': '윌리엄 터너', 'start_idx': 36, 'end_idx': 41, 'type': 'PER'}","{'word': '낭만주의', 'start_idx': 47, 'end_idx': 50, 'type': 'POH'}",no_relation,wikipedia
70,파나소닉이 대만 누보톤테크놀로지에 반도체 부문 주식을 매각할 예정이라고 니혼게이자이신문이 28일 보도했다.,"{'word': '누보톤', 'start_idx': 9, 'end_idx': 11, 'type': 'ORG'}","{'word': '반도체', 'start_idx': 19, 'end_idx': 21, 'type': 'POH'}",no_relation,wikitree
